,codigo_ibge,nome,populacao
58,2304400,Fortaleza,2703391
98,2307304,Juazeiro do Norte,278264
166,2312908,Sobral,212437
50,2304202,Crato,133913
0,2300101,Abaiara,11965
1,2300150,Acarape,15140
2,2300200,Acaraú,63556
3,2300309,Acopiara,54687
4,2300408,Aiuaba,17584
5,2300507,Alcântaras,11846
6,2300606,Altaneira,7712
7,2300705,Alto Santo,16077
8,2300754,Amontada,44195
9,2300804,Antonina do Norte,7402
10,2300903,Apuiarés,14742
11,2301000,Aquiraz,81581
12,2301109,Aracati,75392
13,2301208,Aracoiaba,26600
14,2301257,Ararendá,10983
15,2301307,Araripe,21707
16,2301406,Aratuba,11759
17,2301505,Arneiroz,7848
18,2301604,Assaré,23537
19,2301703,Aurora,24567
20,2301802,Baixio,6318
21,2301851,Banabuiú,18313
22,2301901,Barbalha,61662
23,2301950,Barreira,22715
24,2302008,Barro,22834
25,2302057,Barroquinha,15069
26,2302107,Baturité,36127
27,2302206,Beberibe,54315
28,2302305,Bela Cruz,32851
29,2302404,Boa Viagem,54680
30,2302503,Brejo Santo,50195
31,2302602,Camocim,64147
32,2302701,Campos Sales,27513
33,2302800,Canindé,77484
34,2302909,Capistrano,17830
35,2303006,Caridade,23011
36,2303105,Cariré,18470
37,2303204,Caririaçu,27008
38,2303303,Cariús,18700
39,2303402,Carnaubal,17763
40,2303501,Cascavel,72706
41,2303600,Catarina,21041
42,2303659,Catunda,10410
43,2303709,Caucaia,368918
44,2303808,Cedro,25612
45,2303907,Chaval,13112
46,2303931,Choró,13608
47,2303956,Chorozinho,20286
48,2304004,Coreaú,23340
49,2304103,Crateús,75241
51,2304236,Croatá,18201
52,2304251,Cruz,25121
53,2304269,Deputado Irapuan Pinheiro,9698
54,2304277,Ereré,7254
55,2304285,Eusébio,55035
56,2304301,Farias Brito,19330
57,2304350,Forquilha,24680
59,2304459,Fortim,16776
60,2304509,Frecheirinha,14195
61,2304608,General Sampaio,7767
62,2304657,Graça,14415
63,2304707,Granja,55170
64,2304806,Granjeiro,4784
65,2304905,Groaíras,11219
66,2304954,Guaiúba,26508
67,2305001,Guaraciaba do Norte,40921
68,2305100,Guaramiranga,5073
69,2305209,Hidrolândia,20126
70,2305233,Horizonte,69688
71,2305266,Ibaretama,13385
72,2305308,Ibiapina,25165
73,2305332,Ibicuitinga,12730
74,2305357,Icapuí,20183
75,2305407,Icó,68303
76,2305506,Iguatu,103633
77,2305605,Independência,26196
78,2305654,Ipaporanga,11597
79,2305704,Ipaumirim,12507
80,2305803,Ipu,42148
81,2305902,Ipueiras,38064
82,2306009,Iracema,14351
83,2306108,Irauçuba,24450
84,2306207,Itaiçaba,7904
85,2306256,Itaitinga,38661
86,2306306,Itapajé,53448
87,2306405,Itapipoca,131687
88,2306504,Itapiúna,20653
89,2306553,Itarema,42595
90,2306603,Itatira,22018
91,2306702,Jaguaretama,18133
92,2306801,Jaguaribara,11580
93,2306900,Jaguaribe,34592
94,2307007,Jaguaruana,33960
95,2307106,Jardim,27187
96,2307205,Jati,8150
97,2307254,Jijoca de Jericoacoara,20351
99,2307403,Jucás,24949
100,2307502,Lavras da Mangabeira,31476
101,2307601,Limoeiro do Norte,60232
102,2307635,Madalena,20031
103,2307650,Maracanaú,230986
104,2307700,Maranguape,131677
105,2307809,Marco,27822
106,2307908,Martinópole,11407
107,2308005,Massapê,39341
108,2308104,Mauriti,48370
109,2308203,Meruoca,15309
110,2308302,Milagres,27413
111,2308351,Milhã,13129
112,2308377,Miraíma,13965
113,2308401,Missão Velha,35566
114,2308500,Mombaça,43917
115,2308609,Monsenhor Tabosa,17264
116,2308708,Morada Nova,61590
117,2308807,Moraújo,8833
118,2308906,Morrinhos,22830
119,2309003,Mucambo,14561
120,2309102,Mulungu,11056
121,2309201,Nova Olinda,15798
122,2309300,Nova Russas,32487
123,2309409,Novo Oriente,28737
124,2309458,Ocara,25958
125,2309508,Orós,21342
126,2309607,Pacajus,74145
127,2309706,Pacatuba,85647
128,2309805,Pacoti,12313
129,2309904,Pacujá,6565
130,2310001,Palhano,9458
131,2310100,Palmácia,13553
132,2310209,Paracuru,35526
133,2310258,Paraipaba,33232
134,2310308,Parambu,31391
135,2310407,Paramoti,12276
136,2310506,Pedra Branca,43359
137,2310605,Penaforte,9207
138,2310704,Pentecoste,38045
139,2310803,Pereiro,16356
140,2310852,Pindoretama,20964
141,2310902,Piquet Carneiro,17210
142,2310951,Pires Ferreira,11052
143,2311009,Poranga,12358
144,2311108,Porteiras,14920
145,2311207,Potengi,11165
146,2311231,Potiretama,6455
147,2311264,Quiterianópolis,21246
148,2311306,Quixadá,88899
149,2311355,Quixelô,16116
150,2311405,Quixeramobim,82455
151,2311504,Quixeré,22432
152,2311603,Redenção,29238
153,2311702,Reriutaba,18279
154,2311801,Russas,79550
155,2311900,Saboeiro,15757
156,2311959,Salitre,16714
157,2312007,Santana do Acaraú,32851
158,2312106,Santana do Cariri,17726
159,2312205,Santa Quitéria,43719
160,2312304,São Benedito,48354
161,2312403,São Gonçalo do Amarante,49306
162,2312502,São João do Jaguaribe,7557
163,2312601,São Luís do Curu,13086
164,2312700,Senador Pompeu,25418
165,2312809,Senador Sá,7758
167,2313005,Solonópole,18389
168,2313104,Tabuleiro do Norte,32079
169,2313203,Tamboril,26199
170,2313252,Tarrafas,8555
171,2313302,Tauá,59259
172,2313351,Tejuçuoca,19551
173,2313401,Tianguá,77111
174,2313500,Trairi,56653
175,2313559,Tururu,16588
176,2313609,Ubajara,35295
177,2313708,Umari,7740
178,2313757,Umirim,19976
179,2313807,Uruburetama,22223
180,2313906,Uruoca,13988
181,2313955,Varjota,18520
182,2314003,Várzea Alegre,41078
183,2314102,Viçosa do Ceará,61916
